GeneSymbol	D4_ISO1_LP_1	D4_ISO1_LP_2	D4_INT_LP_PI_1	D4_INT_LP_PI_2	D4_INT_LP_LPS_1	D4_INT_LP_LPS_2	D4_INT_LP_5OP_1	D4_INT_LP_5OP_2	D4_INT_LP_C_1	D4_INT_LP_C_2	D4_ISO6_LP_1	D4_ISO6_LP_2
CCNK	32.01	0	0	0	12.84	0.04	3.34	0.08	2.75	0	7.44	9.34
PCBP4	0	0	0	147.17	0	0	4.04	0	0	0	0	0
RGS1	26.45	0	0	0	0	0	0	0	0	2.09	17.07	17.97
YPEL3	31.36	12.87	0	0	0	0	0	0	0	0	23.38	22.41
MRPS33	33.8	16.41	12.77	0	23.35	0	0	0	0	1.74	7.67	2.69
NDUFB2	47.68	0	0	0	451.26	0	0	0	0	0	0	0
NUDC	75.01	0	0	0	0	39.79	0	0	2.54	8.76	31.04	22.69
MAEA	0.07	0	0	11.04	0	0	0	0	0	3.43	58.96	52.2
ICAM1	37.38	0	0	0	69.92	0	0	0.1	0	0	5.25	0
STRN4	27.23	0	0	0	0	2.33	0	0	0.22	0	3.27	1.99
IRAK3	0	0	0	0	25.67	0	0	0	0.02	0	0	1.31
LYZ	0.46	0	0	0	0	0	0	0	0	0	0	0
SI	0.02	0	0	0	0	0	0	0	0	0	0	0
MUL1	4.62	0	0	0	0	0	0	0	0	0	1.67	0
TFAP4	9.29	0	0	0	0	0	0	0	0.01	0.44	8.77	0
PDCD7	0.01	0	0	0	0	0	0	5.3	2.09	0	2.46	1.21
SPG21	0.01	0	41.47	0	0	0	0	0	0	0	0	0
FETUB	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB11	49.58	48.55	0	10.37	0	0	0	0	4.45	9.75	6.74	26.29
P3H2	0.02	0	0	0	177.87	0	0	0	0.8	0	0	0
THPO	0.02	0	357.34	0	0	0	0	0	0	0	0	0
CHRD	0	0	0	0	24.38	5.17	3.14	0	0.01	0	0	0
FLT3LG	0	0	0	0	37.67	0	0	0	0	0	39.75	0
RAB11FIP3	41.07	0	0	0	0	0	0	0	0	0	10.8	8.6
GNPTG	8.29	0	0	0	0	0	0	0	0.96	30.4	37.27	0
ZNF268	0.03	0	0	0	765.64	0	0	0	0.11	0	1.2	0
GOLGA3	47.91	40.27	0	0	0	0.52	1.36	0.04	13.92	6.7	26.22	11.25
PABPC4	120.82	0	0	0	631.8	10.6	0	0	0.25	31.69	46.37	32.46
CD209	0	0	0	0	0	0	37.47	0	0	0	0	0
CERS4	43.1	0	0	0	0	0	0	0	0	0	4.3	7.23
MCOLN1	0	0	0	0	0	0	0	0	0.85	0	0	2.41
USP48	100.43	23.92	122.91	0.15	6.93	0	0	0	0	0	24.68	111.23
EFNB1	0.01	0	0	0	0	0	0	0	0	0.08	0	0
PDPR	1.64	0	0	0	7.22	0	0	0	0	0.24	6.29	0
AARS	19.52	82.16	0	0	0	0	0	1.84	1.46	0	53.06	31.34
GLG1	0.84	44.59	18.14	1.2	105.58	0	0	0	0	0	21.33	89.08
KIF4A	1.23	0	0	0	0	0	0	0	0	0.33	0	0
TNRC6A	5.35	7.33	0	0	3.81	0	0	0.82	0.02	0	47.76	0
PLEKHG2	0.93	0	0	15.61	5.27	0.03	0	0	0.57	0	4.35	69.56
DLL3	0	0	0	0	15.68	0	0	0.05	0	0	0	0
NAT14	0	0	0	0	0	0	0	0	0	0	0	0
PITPNM2	0	0	0	0	8.97	1.34	0	0	0.1	0	0.97	0
EXOC1	7.49	66.27	0	0	0	0	0	0	14.1	0	1.42	0
RBM27	2.22	0	0	0	0.62	0	0	0	1.51	0	13.16	5.34
POU4F3	0	0	0	0	0	0	0	0	0	0	0	0
OSBPL8	8.37	0	0	0	0	0.34	0	0	0	0	10.2	9.64
DTX2	0.15	0	0	0	0	0	0	0.37	0	0	7.8	0
NLRC4	0	0	0	0	0	0	0	0	0	0	0	0
PUS7	8.13	326.78	0	0	6.16	0	0	0	0	0	4.02	8.49
LAMB4	0	0	0	0	0	0	0	0	0	0	0	0
NRCAM	0	0	0	0	5.64	0	0	0	0	0	0	0
LAMB1	0.02	0	27.98	0	0	0.01	5.4	0	4.84	1.78	0	0
SLC26A4	0	0	0	0	0	0	0	0	0	42.97	0	0
SLC26A3	0.25	0	0	0	0	0	4.41	0	0	1.57	0	0
DLD	72.45	0	0	0	0	0	0	15.95	0	0	1.42	3.18
WDR7	1.19	79.95	0	0.43	8.7	27.99	0	0	8.27	0	15.39	0
TXNL1	40.44	7.38	21.29	0	0	0	10.79	29.57	5.03	0	1.71	0.76
IL5RA	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	2.65	0	0	0	0	0	2.04	15.92	3.58	4.37	0	34.53
CMTM6	9.12	0	0	0	0	0	0	0	0	0	3.96	0.45
ITGA6	0.34	0	199.66	0	0	0.02	0	0	0.26	0.76	0	0
RAPGEF4	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K20	3.77	17.85	0.19	0	0	0	0	6.87	1.9	3.49	2.51	0
SMPX	0	0	0	0	0	0	0	0	0	0	0	0
FH	7.14	0	0	0	25.24	0.33	0	0	0	1.37	9.13	32.67
SEL1L3	15.4	0	0.12	0	12.84	8.89	0	0	0	0	11.7	0
TF	0	0	0	0	15.58	0	0	0.01	0.13	2.03	0	0
CDV3	35.81	557.29	0	128.71	0	7.87	0	0.04	8.93	0	11.59	92.52
MYO15A	0	0	0	0	215.16	0	0	0	1.3	6.12	0	0
ALKBH5	1.68	0	0	0	0	0	0	0	0	0	2.93	6.94
APOH	0	0	0	0	0	0	0	0	0	0	0	0
NLRP1	25.04	20.58	92.02	138.38	97.53	0	32.01	21.47	3.42	8.24	0	1
PITPNM3	1.38	0	11.4	0	15.17	6.46	12.84	17.58	12.72	3.81	0	0.01
SPAG7	60.17	335.59	0	0	0	0	0	0.41	13.72	0	17.37	47.89
ORC6	3.77	0	0	160.47	7.23	0	0	0	0	0	4.6	0
ZFHX4	0	0	0.86	0	37.94	0	1.46	0	0	0	0	0
SLC17A6	0	0	0	0	0	0	0	0	0	0	0	0
CPA1	0	0	0	0	88.6	0	0	0	0	0	0	0
ZC3HC1	8.02	0	0	0	0	0	0	0	0	0	0	0
ESR1	0	0	0	0	0	0	1.89	0	0	0	0	0
RGS17	0	0	0	0	0	0	0	0	0	0	0	0
ANGPT2	0	29.95	0	0	0	0	0	0	0.01	0	0	0
TMEM101	2.23	0	0	0	0	0	0	0	0	0	0	0
CD200	4.82	0	0	0	0	0	0	0	0	0	1.88	0.9
CCDC80	0	0	7.89	2.65	0	0	0	0	0	2.3	0	9.03
CMA1	0	0	0	0	0	0	0	0	0	0	0	0
PSME1	503.51	698.98	2.44	0	0	0	0.4	6.96	0.07	32.77	193.21	332
PPP2R3C	25.44	0	0	0	0	0	0	0	0	1.6	61.05	22.04
HAUS4	0.15	0	0	0	0	0	0	0	0	36.3	0	0
JPH4	0	0	0	0	40.89	0	0	9.17	0	0	0.07	0
MYH7	0	0	0	0	0	0	0	0	0	0	0	0
CEBPE	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A8	10.56	0	0	0	0	2.03	0	0	0.02	0	0	66.08
OSGEP	15.55	0	0	0	48.89	0.18	0	0	0.03	28.87	0	0
SLC22A17	3.32	0	0	0	0	0	0	0	0	0.33	0	0
RNF31	3.27	0	0	279.89	20.74	0	0	0	0	0	0	0
SCFD1	10.84	0	0	0.11	23.13	0	73.7	0	0.03	6.72	4.56	0
G2E3	26.5	0	0	0	0	0	0	0	0	0	0	0
HECTD1	33.32	120.41	3.22	104.64	0.67	0.74	0	0	0.03	195.06	41.53	43.23
HNRNPC	69.9	1737.82	50.7	0	0	35.07	0	0	0.19	0	62.76	237.89
RPGRIP1	0	0	0	0	0	0	0	0	0	6.58	0	0
SUPT16H	36.57	2.2	0	0	170.47	0	0	0	11.35	0	18.86	59.57
TOX4	18.53	0	0	0	0	0	0	73.9	44.8	15.66	5.49	11.9
GEMIN2	6.84	161.79	0	0	0	0	0	0	0	0	0	0.75
TGM1	0	0	0	0	0	0	0	0	0	0	0	0
TINF2	0.02	775.11	649.91	1.14	0	0.16	0	0	0	31.76	0	0
DAZL	0	0	0	0	0	0	0	0	0	0	0	0
TBL1Y	0	0	0	0	0	0	0	0	0	0	0	0
SEMA6A	0.09	0	0	0	0	0	2.23	0	0	0	0	0.19
TRPM7	70.34	3.11	0.17	81.77	0	0	31.03	2.4	0	0	47.66	4.91
TYRO3	0	0	0	0	167.81	0	0	0	0	0	0	0
WDR76	16.22	72.41	261.33	0.68	21.43	0	0	0	0	0	1.28	0
CAPN3	0	297.81	0	0	23.15	0	0	0.03	0	37.86	0	0
SNAP23	50.5	0	0	1057.88	85.79	0	0	0	34	0	58.95	22.68
TBX15	0.17	0	1.34	0	2.38	0	0	0	0.16	6.92	0	0
PHGDH	2.82	0	0	0	0	0	0	23.82	0.05	10.51	0	0
COL9A3	0	0	0	0	0	0	0	0	0	0	0	0
EZR	41.28	36.66	0.14	0.14	0	5.37	28.43	4.67	14.69	24.55	63.9	22.46
MYL6	468.22	0	0	0	0	105.23	79.86	0	38	3.16	39.45	119.71
AGO1	1.21	0	0	30.94	3.2	0	0	0	0.04	0.89	0.24	1.06
TEKT2	0	0	0	0	0	0	0	0	0	0	0	0
CLSPN	25.14	0	7.04	0	120.76	2.22	2.14	2	0.97	0.67	4.57	0
RFFL	0.14	0	0	0	0	0	0	13.28	0.01	0.3	3.26	1.76
UNC13D	6.9	0	0	0	0	0	0	0	0	0	3.29	0
MFSD11	0.03	0	0	0	0	0	73.11	9.12	4.12	0	17.81	76.61
DPYSL2	0.83	0	0	0	0	0	0	4.93	3.03	0	0	0
TGFB2	0	0	0	0	43.58	0	0	0	3.33	0	0	0.18
GPATCH2	15.87	0	0	0	0	0	0	0	0.48	2.79	1.88	7.63
NUP50	22.61	336.91	40.78	0	53.64	0.01	0	31.8	0.01	52.73	7.22	0.05
CDC45	33.21	0	0	0	0	0	0	29.69	0.05	0	0	0
COMT	0.26	0	0	0	0	0	0	0	0	0	2.91	0
ADA2	1.65	0	0	0	0	0	0.14	0	0	25.02	0	0
ENSG00000093100	0	0	0	0	0	0	0	0	0	0	1.11	1.99
VNN3	0	0	0	0	0	0	0	0	0	0	0	0
ECHDC1	7.72	0	0	0	0	0	0	0	16	0	16.67	1.82
LRRFIP2	12.87	197.63	0.25	0	110.04	0	0	0	63.86	0	7.05	25.74
SEC22C	0.03	0	0	0	0	0	0	11.85	0	3.47	1.85	0
XYLB	2.34	0	0	0	0	0.52	0	0	0	0	0	0
HDAC6	96.85	0	0	58.52	0	0	0	0.05	0	7.49	101.77	0
OR1I1	0	0	0	0	41.17	0	0	0	0	0	0	0
GABRP	0	0	8.45	0	0	0	0	0	0	0	0	0
KRT31	0	0	0	0	0	0	0	0	0	0	0	0
CDC6	9.29	7.2	0	0	34.72	0	0	0	0	0	0	0
UPRT	0.02	0	0	0	0	0	0	0.05	0	5.07	0	0
CDC23	4.9	0	0	0	50.97	0	0	0	0	0	5.89	0
AAAS	2.24	169.26	0	0	0	18.98	0	0	0	0	9	0
CBX5	6.62	0	0	0	0	0	0	0	0.05	0.59	0.29	0.83
FMO2	0	0	0	0	0.78	0.25	0	0	0	0	0	0
SUCO	3.84	39.51	0	0	8.18	0.01	0	0	32.36	0	5.27	0
MSH2	7.63	0	0	0	0	0	0	0	0.25	0	0	0.81
MAP3K1	7.77	0	0	0	0	0	2.36	0.02	0	0	7.64	0
DHPS	41.77	0	0	0	0	0	0	0	0	0	0	0
HOOK2	8.51	0	0	0	0	1.99	4.2	25.48	19.11	0	0	7.26
NXPE1	0	0	0	71.1	1.36	0	20.27	0	0.03	0	0	0
ARCN1	50.39	0	0.27	0	0	23.43	12.02	0.08	9.84	0	28.6	5.07
EPB41L4B	0.02	0	0	0	2.07	0	0	3.08	0	0	0	0
TMEM38B	0.15	0	0	0	0	0	0	0	0.18	0	0	0
PSMD5	0	0	0	0	0	0	0	0	0	5.19	1.59	21.48
PTGS1	0	0	0	0	0	0	0	1.47	0	0	0	27.16
NUP188	18.37	0	0.07	0	0	0	0	0	0	0	11.55	14.24
CRAT	0.02	0	0	0	0	0	0	0	0	0	0	0
SH2D3C	4.87	0	0	0	0	0	0	0	0	1.23	0	0
NANS	14.09	0	173.36	73.18	4.87	0.02	25.38	0	0	0.41	7.53	0
TBC1D2	0.01	0	0	0	0	0	0	0	0	0	0	0
WHRN	0	0	0	0	0	0.04	0	0	3.16	0	0.22	11.52
PDE6C	0	0	0	0	0	0	0	0	0	0	0	0
CWF19L1	7.2	0	0	0	0	0	0	0	0	0	0	0
SEMA4G	0.02	0	0	0	0	0	10.9	0	0	0	0	0
BTAF1	2.28	32.56	0	0	0	0	0	2.84	0	0	6.52	3.29
IKZF5	0	0	0	0	5	0	0	3.79	4.01	32.66	2.43	0
BLNK	2.3	72.05	0	0.15	0	0	0	33.72	0.01	3.15	0	10.31
TLL2	0	0	0	0	0	0	0	10.11	0.03	10.74	0	0
CYP26A1	0	0	0	0	0	0	0	0	0	0	0	0
TDRD1	0	0	0	0	0	0	0	11.62	0	0	0	0
SORBS1	0.07	0	0	0	2.92	0.12	0	0	0.01	0	0	0
CRTAC1	0	0	0	0	0	0	0	0	0	0	0	0
BAMBI	0	0	0	0	18.68	0	0	20.13	0	0	0	0
IL11	0	0	0	0	0	0	0	0	0	10.49	0	0
MYO3A	0	0	0	0	10.14	0	0	3.17	0.01	0.9	0	0
WAC	64.29	78.44	8.8	0.15	33.61	15.44	38.66	6.21	4.24	2.66	34.12	31.16
CREM	58.36	361.69	1.93	0	0	0	0	0	0	29.67	42.16	0
NUBP2	0.02	0	0	0	0	0	0	0	66.22	0	0	0
TPSD1	0	0	0	0	0	0	0	0	0	0	0	0
SMIM24	0.12	0	0	0	0	0	0	4.6	0	52.81	0	0
HIVEP1	1.66	0	0	1.48	6.14	0	0	0	0	8.24	4.5	2.4
TREM2	0	0	0	0	0	0	0	0	0	0	0	0
KCNK16	0	0	0	0	0	0	0	0	0	0	0	0
CRISP3	0	0	0	0	0	0	0	0	0	0	0	0
FKBP5	24.48	0	6.21	0	54.27	0	2.64	0	0.01	2.09	25.35	18.11
SRPK1	40.4	647.08	0	0	0.48	0	0	0	0	0	15.63	214.21
BRPF3	10.21	0	0	23.41	14.72	0	0	0.04	0.37	0	9.53	40.48
MRPS18A	0	0	0	0	0	16.05	0	0	0	25.15	0	22.1
PGC	0	0	0	0	0	0	0	0	0	0	0	0
TMEM14A	23.77	0	0	0	0	0	0	0	0	0	0	0
EFHC1	0	0	67.08	14.36	82.86	0	0	5.35	0.01	11	0	0
NCR2	0	0	0	0	0	0	0	0	0	0	0	0
HSP90AB1	864.85	1297	18.43	1.03	27.56	33.21	42.87	14.51	132.32	59.32	277.91	272.38
MLN	0	0	0	0	0	0	0	0	0	0	0	0
CDC5L	12.23	59.72	0	0	0	0	0	0	0	0	11.64	13.88
ITPR3	7.38	11.15	0	0	0	7.86	1.91	0	3.65	0	8.74	6.69
ZNF184	0.01	9.97	0	0	0	0	0	0	0	0	0.99	1.88
DSP	0.33	0	72.1	194.19	2.94	2.02	17.78	9.04	1.74	31.14	0	0
SIRT1	0	0	0	0	0	0	0	15.64	8.63	7.77	11.05	13.98
HNRNPH3	153.68	235.06	0	0.19	0.62	0	14.48	10.51	4.51	6.38	251.1	141.59
IFT74	0.25	23.03	0	0	0	0	0	0	0	0	0	0
JAK2	0.92	12.23	0	0	0	0	0	0.64	0	0	2.15	0
IL12RB1	0	0	0	0	0	0	0.13	0	0	0	0	0
ABL1	0.4	81.54	0	0	9.88	0	0	0	0	0	3.65	34.53
ACOT7	12.26	0	0	0	0	0	0	0	0	0	0	0
SH3GLB1	2.81	11.24	0	0	0	7.45	0	0	2.97	0	5.97	1.32
CDC7	0.21	0	0	0	0	0	0	0	0	0	0	0
SYDE2	0	0	0	0	0	0	3.19	0	1.04	0	0	0
PCSK5	0.05	0	0.18	0	4.91	0.01	0	1.33	0	0	0	0
SCD	2.04	0	0	30.92	5.07	0	0	25.03	0.02	0.74	1.44	0.44
TMED1	0.03	0	0	0	0	0	0	0	0	0	3.43	0
ABLIM1	7.58	57.07	0	0.2	0.96	0	101.49	0	0	1.85	3.14	0
ERMP1	0.02	0	0	0	17.01	0	0	66.98	0	0	2.32	0
RAB18	36.5	0	0	0	0	0	0	10.65	0	0	13.22	14.39
NRP1	75.62	0	0	0	0	0	0	0.02	0	3.39	0.32	0
HSD17B7P2_ENSG00000099251	0	0	0	0	0	0	0	0	0	0	0	0
PRTFDC1	0	0	0	0	0	0	0	0	0	0	0	0
PALMD	0	0	0	0	0	0	0	0	0.04	8.56	0	0
TSPAN15	0.14	0	0	0	0	0	0	0	0	0	0	0
H2AFY2	0.01	0	0	0	13.16	0	0	1.76	0.01	0.51	0	0
WASHC2A	20.26	0	0	0	0	39.44	2.77	0	6.06	4	6.37	3.43
MAST3	1.51	0	0	0	0	0	0	0	0	0	0	1.82
MZF1	0.01	0	0	0	49.04	0	0	0	0	26.33	0	2.28
OCEL1	0	0	0	0	0	0	0	0	0	0	0	0
MYO9B	13.14	60.05	162.31	0	24.92	0.24	0	8.6	17.59	0	21.05	34.34
KCNK6	0.34	0	0	0	8.55	4.97	0	0	0.16	4.2	0	0.15
CATSPERG	0.51	0	0	0	7.27	0	22.54	7.11	1.02	0	0.94	0.81
PSMD8	42.42	0	0	0	0	4.85	31.05	0	0	0	29.01	19.24
FBXL19	0.03	0	0	0	0	0.03	0	0	0	0	0	0
STX1B	0	0	0	0	16.27	0.02	0	0	0	2.29	0	0
HSD3B7	0	0	0	0	0	0	0	0.06	0	0	0	0
SETD1A	1.93	130.29	0.9	42.32	0.34	0	0	0	3.42	1.22	3.14	1.04
BCL7C	0.03	0	0	0	0	0	0	0.08	0.35	0	16.58	0
MAGEB2	0	0	0	0	0	0	0	0	0	0	0	0
EFNA2	0.01	0	0	0	0	0	0	0	0	0	0	0
CIRBP	35.71	638.33	0	0	125.94	0	0	0.37	17.36	0	124.45	169.42
ATP5F1D	50.78	1674.93	0	0	11.34	0	0	0	2.35	20.35	31.37	0
CBARP	0	0	0	0	0	0	0	0	0	0	0	0
PCDH11Y	0	0	0	0	4.01	0	0	3.28	0	0.67	0	0
AMELY	0	0	0	0	0	0	0	0	0	0	0	0
PRKY	0	0	0	0	0	0	0	0	0	0	0	0
IGFALS	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM	245.71	343.2	0	101.54	0	7.2	158.2	39.02	0.11	33.59	156.77	346.99
MARCH2	3.92	0	0	0	0	0	0	0	0	0	0	0
NDUFB7	58.27	0	0	0	5.94	0	0	0	0	0	155.41	59.69
TECR	28.07	0	0.15	0	37.9	6.1	0	0.22	11.47	16.07	39.46	10.88
TIMM13	104.77	0	43.72	0	0	0.04	0	0	0	0	13.14	14.25
CDC34	22.91	0	0	0	0	3.53	0	0	0	0	36.38	20.43
MTAP	34.08	0	0	0	36.79	0	90.71	1.54	0	0.6	6	0
MISP	0.38	49.38	0	0	0	0	0	0	0	0	0	0
CEP170B	0.02	0	0	0	20.04	0.03	0.77	2.25	0	0.89	0.05	0
POLR2E	12.18	18.84	130.09	0	32.61	0	0	0	0	0.11	6.77	4.28
POLRMT	0.05	0	0	0	0	0	0	0	0	0	11.01	0.62
HCN2	0	0	0	0	0	0	0	0	0	0	0	0
CDHR5	0.2	0	0	0	0	1.13	0	0	0	0	0	0
IZUMO4	6.6	0	0	0	0	0	0	0	0	0	0	0
RASSF7	0.04	0	0	0	0	0	0	0	0	0	0	0
GADD45B	3.76	0	95.93	0	0	26.15	0	4.41	47.47	4.53	93.47	438.95
PALM	0.01	0	0	0	0	0	0	0	0	8	0	0
MADCAM1	0	0	0	0	2.93	0	0	0	0	0	0	0
IGF2-AS	0	0	0	0	0	0	0	0	0	0	0	0
MKNK2	0.15	0	0	15.24	0	0	0	0	2.23	4.19	6.45	19.34
ARVCF	0	0	0	0	0	0	0	0	0	0	3.97	0
TRMT2A	7.18	0	0	0	0	0	0	0	0	0	32.99	0
RANBP1	258.93	413.1	0	0	0	0	0	0	0.47	0	16.77	99.61
ZDHHC8	4.95	0	0	0	41.88	0	0	0.04	0	0	12.99	56.17
KLHL22	7.23	0	0	0	0	0	0	0	9.69	0	0	0
MED15	3.16	0	0	0	0	20.33	0	0.23	11.46	23	8.94	13.69
SERPIND1	0.02	0	0	0	0	0	0	0	0	0	0	0
SNAP29	0.22	0	0.1	0	28.12	0	0	0	0	0	0	23.06
CRKL	3.59	14.87	0	0	0	0.03	0	0	0	0	1.46	10.1
LZTR1	0.09	0	0	0	0	0	0	0	0.01	0	0	2.41
MMP11	0	0	0	0	33.63	0	0	0	0	0	0	0
CECR2	0	0	0	0	3.63	0	0	0	0.01	0.97	0	0
SMARCB1	37.8	5.04	0	0	45.07	0	0	0	0.01	17.33	43.39	4.83
P2RX6	0	0	0	0	0	0	0	0	0	0	0	0
DERL3	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A4	0	0	0	0	14	0	0	0	0	0	0	0
BCL2L13	6.29	0	0	0	0	0	0	0	2.69	0	0	0
DDTL	0	0	0	0	0	0	0	0.08	0	4.15	0	0
DDT	0.36	0	0	0	0	2.41	0	0	0	0	0	0
GSTT2_ENSG00000099984	0	0	0	0	0	0	0	0	0	0	0	0
OSM	0	0	0	0	7.09	0	0	0	0	0	0	0
CABIN1	18.91	0	0.06	0	0	0	0	0	0	0	5.17	11.82
TBC1D10A	17.44	0	0	0	28.63	0	0	0	0	0.91	0	0
SUSD2	0	0	0	0	0	0	0	0	0	0	0	0
SF3A1	20.75	286.35	0	0	0	10.17	0	0	5.15	9.84	17.41	35.88
GGT5	0	0	0	0	0	0	0	96.45	0.02	1.59	0	0
RNF215	0	0	0	4.8	0	0	0	0	0.01	0	0	0
SEC14L2	0.05	0	0	0	0	0	0	0	0.01	2.91	0	0
SEC14L3	0	0	0	0	0	0	0	0	0	0	0	0
SPECC1L	6.68	0	0.17	0	0	0	0	49.57	0.02	2.36	93.76	3.4
PPIL2	1.89	0	0	0	56.36	0	0	0	0	0	5.91	0.08
UPB1	0	0	0	0	13.65	0	0	0	0	0	0	0
YPEL1	0	0	0	0	0	0	0	0	0.08	2.22	0	1.56
SNRPD3	12.56	0	0	0	0	0	4.09	0	0	0	0.43	0
PES1	51.4	0	0	0	0	0	16.97	0	0	0	86.13	49.05
MAPK1	0.04	0	0	5.85	0	0	0	0	0	0	0.87	0
GGT1_ENSG00000100031	0.26	0	0	0	0	0	0	5.02	19.28	28.22	0	73.85
PRODH	0.01	0	0	0	0	0	0.1	0	0	0	0	0
PPM1F	7.53	0	0	0	26.3	0.28	0	0	0	0.05	0.9	0
SLC35E4	0	0	0	0	0	0	0	0	0	0	0.01	3.94
TOP3B	1.13	0	0	0	0	0	0	0	0	1.14	0	0
CRYBB3	0	0	0	0	0	0	0	0	0	0	0	0
CYTH4	0.04	0	0	0	4.79	0	0	80.08	0.02	0	0.02	0
ESS2	1.89	0	0	0	14.68	0	0	0	10.47	110.04	71.86	1.11
CRYBB2P1_ENSG00000100058	0	0	0	0	0	0	0	0	0	0	0	0
MFNG	7.13	0	0	0	0	0	0	0	0	0	12.23	0
CARD10	0.04	0	0	0	0	0	0	0	0.03	3.33	0	0
LRP5L	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A1	5.55	0	0	0	0	0	0	0	0	0	0	0
GRK3	0.02	12.77	0	4.1	5.64	0.41	0	0	0	0	0.97	1.65
PLA2G3	0	0	0	0	0	0	0	0	0	0	0	0
LGALS2	0	0	47.86	0	0	0	0	0	0	0	0	0
GGA1	0	0	0	0	0	0	0	0	2.26	0	1.56	0.24
HIRA	3	0.07	0	0	0	0	0	0	0	0	0.55	0
SH3BP1	0.04	0	0	0	0	0	0	0	0	9.62	0	0
SEZ6L	0	0	0	0	9.35	0	0	0	0	0.15	0	0
LGALS1	0	0	0	0	0	0	0	0	0	0	0	0
HPS4	5.55	0	0.12	3.63	176.47	1.11	0	0.03	0.01	11.75	1.28	21.37
PIK3IP1	0.06	0	0	0	0	0	0	0	0	0	22.88	39.31
ENSG00000100101	0	0	0	0	0	0	0	0	0	0	0	0
SRRD	0.63	192.37	0	0	20.94	0	2.23	0	0	58.36	0	5.76
PATZ1	0.01	0	3.61	0	0	0	0	0	0	0	0	0
TRIOBP	11.07	0	158.36	0	8.98	0	0	0	0	0	1.92	0.02
TFIP11	91.48	0	0	0	0	0	0	0	10.7	0	31.81	26.7
GCAT	0	84.86	0	0	0	0	0	0	0	0	0	0
GGTLC2	0.03	0	0	0	0	0	0	0	0	0	0	0
CRYBB1	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD54	123.67	0	0	0	0	0	0	0	0	0	0	80.73
EIF3L	73.13	110.04	192.36	0	0	0	0	0	0	0	117.35	24.7
SNU13	47.46	0	0	0	0	0	0	0	0	0	58.95	57.16
MICALL1	14.2	0	0	0	0	12.35	0	0	0.04	0	0	0.94
POLR2F	36.2	0	0	0	0	0	0	0	0	2.28	8.33	0
SOX10	0	0	0	0	2.19	0	0	0	0	0	0.06	0
CCDC134	0.01	0	0	0	3.69	0	0	8.23	0.01	0.87	2.07	3.51
DEPDC5	6.73	0	0	0	30.59	0	3.44	0	0	3.19	2.82	0
PICK1	7.54	0	0	0	0	0	0	0	0	3.69	5.14	0
TTC28	0.84	0	2.5	0	2.67	0	0	16.26	0	0	0	0
SLC16A8	0	0	0	0	0	0	0	0	0	0	0	0
CENPM	0	0	0	0	0	0	0	0	0	0	0	0
SEPTIN3	0	0	0	0	0	0	0	0	0	1.92	0	0
SLC5A1	0.04	0	0	0	0	0	0	0	0	0	0	0
TPTEP1_ENSG00000100181	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A4	0	0	0	0	0	0	0	0	0	0	0	0
KDELR3	0.02	0	0	0	15.31	0	0	0	0	0	0	0
CYP2D6	0	0	0	0	0	0	0	0	0	0	0	0
DDX17	22.53	20.56	0	0	9.06	0.76	0	0.1	11.81	6.61	46.8	67.97
DMC1	58.67	0	0	0	0	0	468.93	44.1	0	0	0	0
TCF20	32.2	4.22	0	0	18.57	0	0	0	2.31	3.56	25	11.47
HSCB	0	0	0	0	0	0	0	0	0	0	13.79	0
CBY1	0.05	0	0	0	0	0	0	0	0	0	0	0
TOMM22	11.34	0	0	0	0	0	0	0	0	0	0	0
RSPH14	0	0	0	0	0	0	0	0	0	0	0	0
XBP1	8.09	0.45	0	0	0	0.04	0	0	7.91	0	0.14	24.71
RTCB	29.21	1413.02	0	0	0	0	0	0	0	0	28.2	39.87
JOSD1	7.92	79.97	0	0	0	0.18	0	0	21.66	11.33	0	46.37
FBXO7	13.89	0	70.26	0	18.41	0	29.4	51.31	17.09	0	23.52	0
GTPBP1	2.93	0	0	0	111.87	0	0	0.04	49.57	7.54	2.76	0
POLDIP3	10.23	0	0	0	0	0	0	0	0	0	51.71	2.1
RAB36	0	0	0	0	0	0	0	0	0	5.84	0	0
TIMP3	0	0	0	0	0	0	0	0	0.01	0	0	0
PPP6R2	5.42	0	0	0	0	0	0	0	0	0	0	0
SBF1	7.99	0	0	0	10.38	0	0	0	14.24	0.14	30.83	6.6
SUN2	33.94	0	0	1.18	0	0	0	0	0	0.41	5.79	71.18
CYB5R3	27.25	189	0	0	10.53	0	0	3.41	23.3	1.37	36.24	32.85
DNAL4	0	0	0	0	0	0	0	0	0	0	0	0
C22orf31	0	0	0	0	0	0	0	0	0	0	0	0
MIOX	0	0	0	0	0	0	0	0	0	0	0	0
LMF2	0	0	0	0	0	0	0	0	0	0	16.72	0
RHBDD3	2.56	0	0	0	0	0	0	0	0	0	0	0
PACSIN2	20.72	0	0	0	0	0	0	0	4.08	0	0	59.18
