GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
CDKL3	0.08	0	0.08
UPP2	0	0	0
PRSS21	0.62	1.87	1.15
MARK4	3.74	5.22	3.94
PROM1	14.76	18.77	19.15
CCDC124	6.55	4.81	4.88
CEACAM21	0	0	0
PAFAH1B1	15.23	18.23	14.72
NOS2	0.62	1.01	1.31
DNAH9	0	0.01	0.04
KIAA0100	21.46	16.88	12.57
SLC13A2	0.07	0	0
GAS7	0.07	0.41	1.33
TRAPPC6A	0.78	1.06	0.83
MATK	0	0	0.04
CEACAM7	1.63	0.85	1.46
CD79B	0	0	0
SCN4A	0	0	0
ST7L	2.01	1.48	2.15
TKTL1	0	0	0
PAX6	0.03	0	0.05
RPUSD1	1.52	1.42	1.69
RHBDF1	7.21	7.45	10.53
LUC7L	1.81	2.34	3.73
CACNA2D2	0.03	0.03	0
BAIAP3	0.05	0.49	0.21
TSR3	4.24	5.25	4.47
PIGQ	1.72	1.38	2.16
CRAMP1	3.4	2.05	1.1
TEAD3	3.08	4.44	4.59
SELE	0	0	0
DNAJC11	12.21	5.19	4.95
FMO3	0	0	0
MYLIP	0.45	0.28	0.43
NOX1	1.52	0.29	0.43
E2F2	0.21	0.1	0.03
PSMB1	18.34	17.9	16.82
SYN1	0	0.01	0
JARID2	0.19	0.35	0.51
CDKL5	0.44	0.92	1.11
CAMK1G	0	0.02	0.11
CDK11A	7.25	4.97	8.31
NADK	24.92	21.3	18.57
TFAP2B	0	0	0
TFAP2D	0	0	0
DLEC1	0.05	0.2	0.08
CYTH3	6.81	6.99	8.37
ADAM22	0	0.01	0.07
SYPL1	6.82	5.29	3.88
CYB561	7.34	7.35	8.27
SPAG9	26.43	26.79	29.3
CELSR3	0.01	0.21	0.04
AASS	0.58	1.76	1.86
PLEKHG6	17.42	15.61	15.32
SS18L2	0.56	0.99	0.8
MPND	5.31	6.93	8.12
MGST1	46.49	25.21	39.68
CRY1	1.64	2.22	1.98
PGLYRP1	0	0	0
NFIX	5.01	5.43	6
ST3GAL1	7.58	8.63	7.92
MMP25	0.02	0.29	0.11
IL32	129.71	137.34	141.48
PKD1	2.09	2.65	1.32
MAPK8IP2	0.06	0.05	0
MED24	4.12	3.31	4.71
RHOBTB2	6.04	10.76	10.7
HEATR5B	1.68	2.15	1.91
SEC62	46.96	44.98	62.49
RPS20	151.99	93.9	92.2
